Number;neighbourhood_group;neighbourhood;latitude;longitude
46;Sants-Montjuic;la Bordeta;41.36844738798485;2.132194423436607
46;Sants-Montjuic;la Bordeta;41.36859129777879;2.1344471429128715
46;Sants-Montjuic;la Bordeta;41.36982805608777;2.133465998369578
46;Sants-Montjuic;la Bordeta;41.36752206893859;2.1338912148831044
46;Sants-Montjuic;la Bordeta;41.37039662456817;2.1344956004463795
46;Sants-Montjuic;la Bordeta;41.370943849321876;2.1310560142378656
46;Sants-Montjuic;la Bordeta;41.37107268186745;2.14197460861122
46;Sants-Montjuic;la Bordeta;41.370645820203904;2.142002190190145
46;Sants-Montjuic;la Bordeta;41.3672649986723;2.134272105122977
46;Sants-Montjuic;la Bordeta;41.372486550001334;2.140011154456531
46;Sants-Montjuic;la Bordeta;41.36984643347788;2.141407207398643
46;Sants-Montjuic;la Bordeta;41.37030449391884;2.138336532366858
46;Sants-Montjuic;la Bordeta;41.37076091761912;2.140748131963752
46;Sants-Montjuic;la Bordeta;41.37318076530341;2.140548377001883
46;Sants-Montjuic;la Bordeta;41.367225123146746;2.1320637442381107
46;Sants-Montjuic;la Bordeta;41.37238686750936;2.138087813984003
46;Sants-Montjuic;la Bordeta;41.368352168804996;2.1326448399359044
46;Sants-Montjuic;la Bordeta;41.37375502856807;2.1406954641645255
46;Sants-Montjuic;la Bordeta;41.37056736081841;2.1415429070906002
46;Sants-Montjuic;la Bordeta;41.36845601542804;2.1344989301525614
46;Sants-Montjuic;la Bordeta;41.371369659159754;2.1375930413612787
46;Sants-Montjuic;la Bordeta;41.367795447206746;2.1355416218447316
46;Sants-Montjuic;la Bordeta;41.37056468237463;2.1339967127704087
46;Sants-Montjuic;la Bordeta;41.369894935303925;2.141915227152175
46;Sants-Montjuic;la Bordeta;41.37070336386918;2.1327577994064204
46;Sants-Montjuic;la Bordeta;41.3659225265864;2.136889562670276
46;Sants-Montjuic;la Bordeta;41.36678076489023;2.132455178947068
46;Sants-Montjuic;la Bordeta;41.36592500940967;2.1367996025214717
46;Sants-Montjuic;la Bordeta;41.369737238839285;2.1341346501435883
46;Sants-Montjuic;la Bordeta;41.37039705353262;2.133149877166302
46;Sants-Montjuic;la Bordeta;41.366101466740304;2.136291535429528
46;Sants-Montjuic;la Bordeta;41.37010106093973;2.1385931057956182
46;Sants-Montjuic;la Bordeta;41.36606302558355;2.133307686831629
46;Sants-Montjuic;la Bordeta;41.37342117254916;2.1408258360872954
46;Sants-Montjuic;la Bordeta;41.369933290813925;2.13443305540192
46;Sants-Montjuic;la Bordeta;41.369723619624885;2.1392504719698864
46;Sants-Montjuic;la Bordeta;41.36986785357168;2.138342628285174
